Site_code,lat,lon,Habitat,Depth,temp_mean,temp_daily_range,speed_mean,speed_median,EpiPAR_sg_mean,Secchi_mean,ubed90_median,Hs70_median,Hs95_median
CBHE_BA1D,-23.427043,151.951453,Back,12,24.82126787,0.279496053,0.025493628,0.038451453,10.44143201,13.27464049,0.301758453,0.796801507,1.381758153
CBHE_BA1S,-23.4274405,151.951418,Back,5,24.8268241,0.291764369,0.033570796,0.04469269,10.32784104,13.52612327,0.419449225,0.804294139,1.382866204
CBHE_BA2D,-23.433075,151.919269,Back,12,24.84469127,0.23549159,0.029985056,0.038070567,13.89730622,13.44581347,0.395884946,0.627252907,1.08705318
CBHE_BA2S,-23.432982,151.919934,Back,5,24.84236748,0.241675493,0.047204488,0.050470447,15.82730429,13.95157205,0.442753017,0.655881047,1.129120231
CBHE_FL1S,-23.4551755,151.924688,Flank,5,24.88450245,0.260033154,0.068827593,0.099990381,12.36591881,13.79615216,0.360277876,0.548356473,1.09576875
CBHE_FR1D,-23.471098,151.976937,Front,13,24.87595243,0.244814994,0.019082658,0.052300854,15.16710424,14.79998545,0.362023488,0.948637456,1.772237897
CBHE_FR1S,-23.470972,151.9767105,Front,5,24.87898707,0.256781233,0.031274417,0.061525455,12.99342427,14.41113628,0.481556401,0.92363444,1.676246583
CBHE_FR2D,-23.4698255,151.9500635,Front,12,24.90140174,0.180430973,0.019742884,0.03073077,9.687039345,14.74411741,0.308285713,0.837172419,1.626462162
CBHE_FR2S,-23.469371,151.949669,Front,5,24.90276847,0.221588527,0.030436441,0.043619723,10.30275713,14.47319894,0.481887668,0.785094082,1.460991621
CBLM_BA2S,-23.893298,152.403406,Back,5,24.46011074,0.187168702,0.030930367,0.031999901,3.830306228,13.7788941,0.273065969,0.488592938,0.907107294
CBLM_FL1S,-23.883903,152.412621,Flank,5,24.46732082,0.177684752,0.038459668,0.039607526,4.816416143,13.50969897,0.352136061,0.642214715,1.204066813
CBLM_FL2S,-23.916571,152.390971,Flank,5,24.45946516,0.187254509,0.047628155,0.062790555,2.871348121,13.38812851,0.398871824,0.990279526,1.882407546
CBLM_LA1S,-23.895147,152.412821,Lagoon,5,24.46476093,0.229871103,0.040003196,0.037536969,3.445592413,13.89852136,0.077019259,0.313041762,0.447392002
OCCH_BA1S,-18.6522055,147.707533,Back,5,26.84933522,0.244459001,0.097260872,0.086949999,3.47150627,21.02656651,0.293446749,0.883272588,1.430175304
OCCH_BA2S,-18.659365,147.701675,Back,5,26.8436273,0.253341172,0.09481186,0.085257057,3.32179088,19.37770996,0.324609131,0.895039916,1.385370374
OCCH_FL1S,-18.651217,147.7174615,Flank,5,26.84706459,0.244770826,0.100489283,0.087991233,3.741628661,21.82920478,0.38455306,0.943600267,1.667696536
OCDA_BA1D,-18.82479,147.62635,Back,14,26.46905949,0.232638287,0.063839827,0.054222631,4.607128513,21.49075133,0.358564496,0.863451183,1.187880278
OCDA_BA1S,-18.8249,147.62627,Back,5,26.74381948,0.293276524,0.084205478,0.07075,4.215770956,21.30941342,0.3651838,0.865299582,1.189783692
OCDA_BA2S,-18.81348,147.6362,Back,5,26.73636411,0.282606586,0.072753759,0.061426097,4.951693562,20.06668812,0.205482677,0.853889585,1.165390372
OCDA_FL1D,-18.80492,147.6678,Flank,14,26.50703987,0.232320908,0.063251891,0.059727132,4.942971639,22.01897714,0.330227941,0.920898378,1.267756522
OCDA_FL1S,-18.80475,147.6676,Flank,5,26.74366289,0.268554787,0.077989714,0.068148372,3.555104262,20.15847441,0.36653474,0.910242647,1.261187255
OCDA_FR1D,-18.81866,147.66294,Front,14,26.49510993,0.240101567,0.051187085,0.054254014,4.21309526,20.72549428,0.218328446,1.060346246,1.510136545
OCDA_FR1S,-18.8182,147.66291,Front,5,26.74503898,0.278858164,0.07046472,0.064577157,5.000564517,22.05921102,0.423411965,1.027147889,1.439293623
OCDA_FR2D,-18.83091,147.65157,Front,13,26.48633802,0.23595352,0.053526057,0.051494921,3.902042297,20.02455063,0.322952598,1.05797261,1.486649752
OCDA_FR2S,-18.83087,147.6515,Front,5,26.75410596,0.283010463,0.074062557,0.064757438,4.645035283,21.71899826,0.494847715,1.040318012,1.406961441
OCDA_LA1S,-18.832,147.63238,Lagoon,5,26.73660679,0.287012107,0.082990463,0.069945734,3.967585028,20.92402454,0.397592738,0.834828705,1.03612411
OCDA_LA2S,-18.83025,147.63216,Lagoon,5,26.73394608,0.289946502,0.082177627,0.069309262,4.2162243,20.58919026,0.264603972,0.837989062,1.072086751
OCLB_BA1S,-18.9483475,147.6919265,Back,5,26.64362908,0.287698864,0.128655069,0.107077765,9.002898316,20.67935771,0.267068386,0.887240678,1.059510827
OCLB_FL1S,-18.943062,147.698285,Flank,5,26.64813364,0.285326098,0.133996146,0.109274079,8.046611318,20.32731049,0.202145956,0.868481159,1.109600604
OCLB_LA1S,-18.948382,147.700909,Lagoon,5,26.63871179,0.290670075,0.134784374,0.110878825,9.117515978,21.09188219,0.244834356,0.878839046,1.122163653
ONLI_BA1S,-14.649714,145.449096,Back,7,26.96866103,0.187708513,0.052477699,0.047229331,7.745638909,18.25964605,NA,NA,NA
ONLI_BA2S,-14.666794,145.440894,Back,4,26.92796983,0.204865043,0.124432307,0.114871352,10.89224659,20.16018197,0.158439375,0.347222865,0.551288128
ONLI_FL1S,-14.6970975,145.444447,Flank,5,26.94475989,0.202052198,0.158377424,0.149243942,11.8318148,18.85298854,0.18066138,0.593727052,0.914019018
ONLI_FR1S,-14.6902735,145.4683795,Front,5,26.96268185,0.260941846,0.06498788,0.053969188,8.883089766,19.2522564,0.258916602,0.778499365,1.168479502
ONLI_FR2S,-14.648439,145.491935,Front,7,26.99660712,0.21237832,0.183848402,0.17819131,8.114865297,19.87676398,NA,NA,NA
ONLI_LA1S,-14.6867065,145.464276,Lagoon,5,26.95539694,0.241379325,0.061121284,0.051939704,10.16419876,19.71691589,0.112954218,0.341479897,0.4237663
ONMO_BA1D,-16.8461725,146.2164315,Back,12,26.90916109,0.207436721,0.047190467,0.041548985,6.317378502,20.55254808,0.34765473,0.856842577,1.389541745
ONMO_BA2D,-16.880947,146.1827795,Back,10,26.83933694,0.160684276,0.074583313,0.066042234,7.102607656,19.81285422,0.15992406,0.807926685,1.253459394
ONMO_BA2S,-16.8810015,146.182993,Back,5,27.11248219,0.23054173,0.102803212,0.093237671,5.559488262,17.35146699,0.258614868,0.806616545,1.268511057
ONMO_FL1D,-16.8474505,146.2362885,Flank,12,26.88603256,0.229484807,0.070239484,0.061627554,5.998709976,18.86829689,0.389494061,0.96791482,1.644083142
ONMO_FL1S,-16.8475425,146.236223,Flank,5,27.14596688,0.253945405,0.09378835,0.082430412,7.052719196,21.41623671,0.476331457,0.956859827,1.605659962
ONMO_FR1D,-16.871083,146.2526695,Front,12,26.92299665,0.209044624,0.048586503,0.044197584,8.126372444,21.14805454,0.594628721,1.312989891,2.140631318
ONMO_FR1S,-16.871041,146.2526145,Front,5,27.14692974,0.266606301,0.067317135,0.061122955,7.643318784,19.28718865,0.602956533,1.314322948,2.134911537
ONMO_FR2D,-16.8820355,146.243797,Front,13,26.89998181,0.188079289,0.033187546,0.03026241,8.748673047,17.35051596,0.411112547,1.103649378,1.768663526
ONMO_FR2S,-16.881674,146.243602,Front,5,27.13843675,0.251074294,0.062043513,0.057629486,8.611457564,17.3165355,0.639131159,1.089616895,1.666936994
ONMO_LA1D,-16.8589245,146.2247455,Lagoon,10,26.86063396,0.190150814,0.031873509,0.026670036,7.060045792,18.67559206,0.173425443,0.647727489,0.96981284
ONMO_LA1S,-16.858841,146.2246785,Lagoon,5,27.11552305,0.237503734,0.065731549,0.060059435,7.741917748,19.46040146,0.19589629,0.648363352,0.973411083
PAOR_FL1D,-18.57051,146.49438,Flank,12,26.72274514,0.17503674,0.017290841,0.01622534,7.705051299,15.40017348,0.327352017,1.130954504,1.651909113
PAPE_BA1D,-18.54954,146.48722,Back,13,26.70440096,0.184962457,0.0374678,0.037819574,9.19591336,15.08957088,0.084789388,0.270034537,0.479743332
PAPE_BA2D,-18.53983,146.48746,Back,12,26.70623052,0.200043347,0.054890832,0.051582304,6.057402571,12.80816852,0.159269251,0.394920632,0.607355744
PAPE_BA2S,-18.54003,146.48762,Back,3,27.0099795,0.310560268,0.068695194,0.062268258,4.868322709,11.61609727,0.177618876,0.375655904,0.585369498
PAPE_FR1D,-18.53835,146.4985,Front,13,26.71773304,0.167808932,0.066148988,0.055780712,5.409925626,13.62274481,0.305310726,1.096324682,1.610713363
PAPE_FR1S,-18.53852,146.49818,Front,5,27.02141684,0.302754662,0.086941988,0.077682136,7.269390064,15.82980535,0.330255032,1.080355763,1.591467381
TSAU_BA1S,-9.866615,143.388355,Back,5,27.55762669,0.134029596,0.060421261,0.072142064,4.951472103,9.801631655,,,
TSAU_BA2S,-9.8747,143.387545,Back,7,27.55523605,0.134083524,0.061870995,0.074643155,5.028249123,11.28938846,,,
TSAU_FL1S,-9.881025,143.39342,Flank,5,27.55364897,0.13190112,0.062063657,0.077341239,5.478133451,12.1797551,,,
TSAU_FR1S,-9.87896,143.40904,Front,7,27.55528812,0.134314074,0.061682442,0.079782419,4.62829115,10.59504468,,,
TSAU_FR2S,-9.88259,143.406125,Front,5,27.55468785,0.135319417,0.062334046,0.080936246,6.108207929,12.84159986,,,
TSDU_BA3S,-9.984315,142.90754,Back,5,27.79361881,0.183448485,0.069527619,0.086675442,7.809952201,11.39568955,,,
TSDU_FR1S,-9.9302,143.00443,Front,5,27.75365451,0.384880777,0.066057245,0.097686361,10.41918389,7.292692659,,,
TSDU_FR2S,-10.03607,142.925535,Front,5,27.74966503,0.158522605,0.058033626,0.06135305,9.440518686,11.68331475,,,
TSMA_BA1S,-9.747895,143.398825,Back,4,27.58413912,0.150483107,0.062799352,0.077642496,9.521212324,10.94856765,,,
TSMA_BA2D,-9.74309,143.41474,Back,14,27.56328753,0.126664885,0.051877308,0.060652552,9.947518222,10.24624741,,,
TSMA_BA2S,-9.7432395,143.414763,Back,5,27.58080807,0.148205123,0.057996824,0.070317746,10.29367788,9.984857985,,,
TSMA_FL1S,-9.758895,143.39696,Flank,5,27.58427639,0.15345541,0.059005465,0.075136075,5.569627536,7.917312555,,,
TSMA_FR1S,-9.76124,143.420395,Front,4,27.58139783,0.138501051,0.05456512,0.069201495,12.63399998,12.71773346,,,
TSMA_FR2D,-9.74537,143.45912,Front,14,27.56439563,0.124690891,0.059866361,0.073096424,14.65620313,11.36213087,,,
TSMA_FR2S,-9.74738,143.457505,Front,4,27.58346789,0.141955234,0.066549289,0.083277101,13.53353581,9.546044428,,,
TSMA_LA1S,-9.73304,143.43419,Lagoon,5,27.57678286,0.149298353,0.059880002,0.066716737,7.677335317,9.017177996,,,